ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
T1952,Antique Dump Truck,*,F5R2HM32758,L1023,div 2,Photos/Library/T1952-P.jpg,Photos/Library/T1952-T.jpg,N/A
G321,Grinder Morbark 4600XLT,10/28/2014,188-1135,*,div 8,Photos/Library/G321-P.jpg,Photos/Library/G321-T.jpg,N/A
L128,Loader JohnDeere 544K,9/24/2012,1DW544KZPBD641521,n/a,div 15,Photos/Library/L128-P.jpg,Photos/Library/L128-T.jpg,N/A
L129,Loader JohnDeere 724K,12/28/2012,1DW724KXCA0629473,n/a,div 8,Photos/Library/L129-P.jpg,Photos/Library/L129-T.jpg,N/A
P148,*,*,*,*,*,Photos/Library/P148-P.jpg,Photos/Library/P148-T.jpg,N/A
T223,"Truck Pickup, Ford F450 (2001)  Red",6/26/2007,1FDXF46S21EA98039,XNX4320,div 8,Photos/Library/T223-P.jpg,Photos/Library/T223-T.jpg,N/A
TRL217,TrailerTrailKing (2008),4/12/2012,1TKHA46208B113858,433862TL,div 8,Photos/Library/TRL217-P.jpg,Photos/Library/TRL217-T.jpg,N/A
TRL231,Trailer Peerless (1995),12/21/2015,1PLE04221SPH19928,679164TL,div 15,Photos/Library/TRL231-P.jpg,Photos/Library/TRL231-T.jpg,N/A
G116,Grinder Morbark 6400XL,5/13/2019,195-1010 ENGINE S/N BT400226  C32,*,div 5,Photos/Library/G116-P.jpg,Photos/Library/G116-T.jpg,N/A
E108,     Splitter,6/8/2004,*,n/a,div 5,Photos/Library/E108-P.jpg,Photos/Library/E108-T.jpg,N/A
E116,Excavator KomatsuHydraulicPC160LC-7EO,10/1/2007,10/29/1954,n/a,div 5,Photos/Library/E116-P.jpg,Photos/Library/E116-T.jpg,N/A
